Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0343878901675215,-0.000898040241707241,0.241081053865056,0,0,0,38.0603057004842,0.35264350546344,5.69255903021161E-05,0.00061293573507271,0.717512621000651,0.000473110236931968,0.658928008781526,0,0,0,0,0,0,package://r1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://r1/meshes/base_link.STL,,PCB-1;FG-方管[LE-FG-40×40×3.5-500]-1;分层板-2;双目1-1;IMU-1;分层板-1;电池-1;rtk-1;FenerVehicleV2-1/FenerVehicleV2.step-1/top_lid.step-1/top_lid (1).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/side_walls.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/chasis.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final v5(Mirror).step-1/fit_test_Component224 v1(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final.step-1/fit_test_servo_holder.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/bumper.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final.step-1/fit_test_Component43.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final v5(Mirror).step-1/fit_test_Component43 v1(Mirror) (1).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/top_lid.step-1/gearbox_lid.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/casing_left_half.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/stacked_gear_mirror.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/13mm_spacer.step-3;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/13mm_spacer.step-2;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/608 RS Rulman.step-2;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/608 RS Rulman.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/2mm_spacer.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/top_brace.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/gear_shaft.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/gear_shaft.step-2;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/reversed_brushless.step-1/reversed_a2212-brushless-dc-motor.step-1/ROTOR (1).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/reversed_brushless.step-1/reversed_a2212-brushless-dc-motor.step-1/ROTOR.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/608 RS Rulman.step-6;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/back_brace.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/Custom_Back_Wheel.step-1/Back_wheel_adaptation.step-1/Shaft_1.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/reversed_brushless v9(Mirror) (1).step-1/reversed_a2212-brushless-dc-motor v1(Mirror) (1).step-1/ROTOR (1)(Mirror) (1).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/casing_right_half(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/top_brace(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/reversed_brushless v9(Mirror) (1).step-1/reversed_a2212-brushless-dc-motor v1(Mirror) (1).step-1/ROTOR(Mirror) (1).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/reversed_brushless v9(Mirror) (1).step-1/reversed_a2212-brushless-dc-motor v1(Mirror) (1).step-1/Motor Mount(Mirror) (1).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/back_brace(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/casing_left_half(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/gear_shaft(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/Custom_Back_Wheel v4(Mirror) (1).step-1/Back_wheel_adaptation(Mirror) (1).step-1/Shaft(Mirror) (2).step-1/Shaft(Mirror) (2)-9.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/gear_shaft(Mirror).step-2;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/608 RS Rulman.step-7;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/13mm_spacer.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/output_gear.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/stacked_gear.step-1/Healical Gear (29L@30.00).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/reversed_brushless.step-1/Brushless_Prop_adaptor_3mm.step-1/Prop_Adaptor.step-1/front_cone.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/reversed_brushless.step-1/reversed_a2212-brushless-dc-motor.step-1/Motor Mount.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/reversed_brushless.step-1/reversed_a2212-brushless-dc-motor.step-1/bldc motor shaft.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/reversed_brushless.step-1/Brushless_Prop_adaptor_3mm.step-1/Prop_Adaptor.step-1/base.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final v5(Mirror).step-1/fit_test_servokolu v1 v2(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final.step-1/fit_test_mg995 Servo v1.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final.step-1/fit_test_servo_holder_bottom.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final v5(Mirror).step-1/fit_test_servo_holder v1(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final v5(Mirror).step-1/fit_test_mg995 Servo v1 v1(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final v5(Mirror).step-1/fit_test_servo_holder_bottom v2(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final.step-1/fit_test_Component224.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final.step-1/fit_test_servokolu v1.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,-2.71421483177825E-07,0.0178376569876221,8.49577653054003E-08,0,0,0,0.102007563940439,6.03197633111551E-05,-1.09650777535302E-10,7.71132214702415E-10,9.37857965039355E-05,9.81331506021422E-10,6.03194335121187E-05,0,0,0,0,0,0,package://r1/meshes/Empty_Link1.STL,0.152941176470588,0.152941176470588,0.152941176470588,1,0,0,0,0,0,0,package://r1/meshes/Empty_Link1.STL,,FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final.step-1/Custom_Front_Wheel Copy.step-1/Front_Tire.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final.step-1/Custom_Front_Wheel Copy.step-1/front_rim.step-1/front_rim-0.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final.step-1/Custom_Front_Wheel Copy.step-1/front_rim.step-1/Front_rim_cap.step-1,坐标系2,基准轴5,J1,revolute,-0.220127909860013,-0.142085316479216,-0.000100000000000976,0,0,0,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Empty_Link2,-2.81109255456657E-07,0.00171272065277243,-1.72457881711047E-07,0,0,0,0.102007476255524,6.03196775650763E-05,-1.30454716001587E-10,8.2130239199344E-10,9.37857280988688E-05,9.77509097955072E-10,6.03194264639649E-05,0,0,0,0,0,0,package://r1/meshes/Empty_Link2.STL,0.152941176470588,0.152941176470588,0.152941176470588,1,0,0,0,0,0,0,package://r1/meshes/Empty_Link2.STL,,FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final v5(Mirror).step-1/Custom_Front_Wheel Copy v2(Mirror).step-1/Front_Tire(Mirror).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final v5(Mirror).step-1/Custom_Front_Wheel Copy v2(Mirror).step-1/front_rim(Mirror).step-1/front_rim(Mirror)-2.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/servo_assemb_final v5(Mirror).step-1/Custom_Front_Wheel Copy v2(Mirror).step-1/front_rim(Mirror).step-1/Front_rim_cap(Mirror).step-1,Origin_J2,基准轴4,J2,revolute,-0.220127909860013,0.122535316479216,-0.000100000000001,0,0,0,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Empty_Link3,3.76217621722574E-07,-0.00343116064614217,1.77734477486638E-07,0,0,0,0.130385211409052,7.86812106003073E-05,5.53858346756479E-11,9.23581794342341E-08,0.000108048071855382,-1.15152881530515E-10,7.82862361574103E-05,0,0,0,0,0,0,package://r1/meshes/Empty_Link3.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://r1/meshes/Empty_Link3.STL,,FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/Custom_Back_Wheel v4(Mirror) (1).step-1/Back_wheel_adaptation(Mirror) (1).step-1/front_rim(Mirror) (2).step-1/front_rim(Mirror) (2)-8.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/Custom_Back_Wheel v4(Mirror) (1).step-1/Back_wheel_adaptation(Mirror) (1).step-1/front_rim(Mirror) (2).step-1/Front_rim_cap(Mirror) (2).step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb v1(Mirror).step-1/Custom_Back_Wheel v4(Mirror) (1).step-1/Back_Tire(Mirror) (1).step-1,Origin_J3,基准轴3,J3,revolute,0.19879978611665,0.122535316479219,0.000149999999998002,0,0,0,base_link,0,-1,0,0,0,-3.14,3.14,,,,,,,,
Empty_Link4,3.64091904681008E-07,0.000181544843160394,3.71723492477368E-07,0,0,0,0.130386181839137,7.86817593166718E-05,7.73070482159629E-11,9.25265700656962E-08,0.00010804820646223,-1.16088106414147E-10,7.82861601090754E-05,0,0,0,0,0,0,package://r1/meshes/Empty_Link4.STL,0.152941176470588,0.152941176470588,0.152941176470588,1,0,0,0,0,0,0,package://r1/meshes/Empty_Link4.STL,,FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/Custom_Back_Wheel.step-1/Back_Tire.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/Custom_Back_Wheel.step-1/Back_wheel_adaptation.step-1/front_rim_1.step-1/Front_rim_cap_1.step-1;FenerVehicleV2-1/FenerVehicleV2.step-1/gearbox_assemb.step-1/Custom_Back_Wheel.step-1/Back_wheel_adaptation.step-1/front_rim_1.step-1/front_rim_1-5.step-1,Origin_J4,基准轴2,J4,revolute,0.19879978611665,-0.119285316479219,0.000149999999998002,0,0,0,base_link,0,1,0,0,0,-3.14,3.14,,,,,,,,
